Questions,Subject,cleaned_question,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic
"Choose the correct statements:
This question has multiple correct options
A. It is easier to fabricate 10000 AND gates using circuit components than on an integrated chip.
B. It is easier to fabricate 10000 AND gates on an integrated chip than fabricating them using circuit components.
C. It is easier to fabricate a single AND gate using circuit components as compared to on an IC.
D. It is easier to fabricate a single AND gate on an IC as compared to using circuit components.",Physics,choose correct statement question multiple correct option easy fabricate 10000 gate use circuit component integrate chip easy fabricate 10000 gate integrate chip fabricating use circuit component easy fabricate single gate use circuit component compare ic easy fabricate single gate ic compare use circuit component,Electricity,Hard,1032,2,77,72,Hard,thermodynamics
"Assertion
A given transformer can be used to
step-up or step-down the voltage
Reason
The output voltage depends upon the
ratio of the number of turns of the two
coils of the transformer
A. Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is
not the correct explanation for Assertion
C. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect",Physics,assertion give transformer use stepup stepdown voltage reason output voltage depend upon ratio number turn two coil transformer assertion reason correct reason correct explanation assertion assertion reason correct reason correct explanation assertion assertion correct reason incorrect assertion reason incorrect,Electricity,Hard,1006,8,67,278,Medium,optics
"Calculate the capacitance (in farads) of
a charged, parallel-plate capacitor. Given the potential difference between
the plates is equal to \( X \) volts and the
amount of charge on the POSITIVE plate
is equal to \( Y \) coulombs.
A \( \cdot \frac{X}{2 Y} \)
в. \( \frac{Y}{2 X} \)
\( c \cdot \frac{Y}{X} \)
D. \( \frac{2 Y}{X} \)
E \( \cdot \frac{2 X}{Y} \)",Physics,calculate capacitance farad charge parallelplate capacitor give potential difference plate equal volt amount charge positive plate equal coulomb cdot fracx2 fracy2 cdot fracyx frac2 yx cdot frac2 xy,Electricity,Hard,1095,8,44,50,Medium,optics
"The frequency of applied alternating voltage is 2 KHz.its time period will
be
A \( .0 .5 \times 10^{-3} \) second
B. 5 second
c. 0.5 second
D. 2 second",Physics,frequency apply alternating voltage khzit time period times 103 second second 05 second second,Electricity,Hard,1067,7,38,260,Easy,electricity
"A wire has a resistance of \( 10 \Omega \). It is
stretched by \( 1 / 10 \) of its original length. Then its resistance will be
A. \( 9 \Omega \)
B. \( 10 \Omega \)
c. \( 11 \Omega \)
D. \( 12.1 \Omega \)",Physics,wire resistance 10 omega stretch 10 original length resistance omega 10 omega 11 omega 121 omega,Electricity,Hard,1081,4,53,228,Medium,optics
"In the given in each the current in
each resistance is:
A. \( 0 A \)
B. \( 1 A \)
c. \( 0.25 A \)
D. \( 0.5 A \)",Physics,give current resistance 025 05,Electricity,Hard,1054,5,85,187,Hard,kinematics
"When two charged objects attract each other, the objects carry:
A. same charges
B. opposite charges
c. no charges
D. none of the above",Physics,two charge object attract object carry charge opposite charge charge none,Electricity,Hard,1051,10,68,134,Medium,optics
"When connected to the \( 220 \mathrm{V} \) mains
supply, the current in a toaster, a kettle, a lamp and a fan is \( 5.2 \mathrm{A}, 9.4 \mathrm{A}, 0.5 \mathrm{A} \) and 2.6A respectively. Which appliance has the greatest electrical resistance?
A. toaster
B. kettlein
c. lamp
D. fan",Physics,connect 220 mathrmv main supply current toaster kettle lamp fan 52 mathrma 94 mathrma 05 mathrma 26a respectively appliance great electrical resistance toaster kettlein lamp fan,Electricity,Hard,1086,6,66,183,Medium,electricity
"\( \mathbf{5 0} \boldsymbol{V} \) battery is supplying current of \( \mathbf{1 0} \) amp when connected to a resistor. If the
efficiency of battery at this current is 25
\%. Then internal resistance of battery
is:-
A . \( 2.5 \Omega \)
B. \( 3.75 \Omega \)
c. \( 1.25 \Omega \)
D. \( 5 \Omega \)",Physics,mathbf5 boldsymbolv battery supply current mathbf1 amp connect resistor efficiency battery current 25 internal resistance battery 25 omega 375 omega 125 omega omega,Electricity,Hard,1087,8,82,261,Hard,thermodynamics
"An electric bulb is marked \( 200 \vee, 100 W \)
Calculate electrical resistance of its
filament. If five such bulbs are
connected in series to a \( 200 \mathrm{V} \) supply, how much current will flow through them?",Physics,electric bulb mark 200 vee 100 calculate electrical resistance filament five bulb connect series 200 mathrmv supply much current flow,Electricity,Hard,1010,5,20,272,Easy,electricity
