Questions,Subject,Question,option_1,option_2,option_3,option_4,correct_answer,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic,topic_enc,diff_enc,target_enc,quiz_id,quiz_question,question,Correct_Option_Number
"A person who is moving parallel to the
charge and at the same velocity as the
charge will measure.
A. A magnetic field and an electric field due to the moving charge.
B. A magnetic field, but not an electric field due to the moving charge.
C. An electric field, but not a magnetic field due to the moving charge.
D. Neither an electric field nor a magnetic field due to the moving charge.
E. A decrease in the amount of charge.",Physics,"A person who is moving parallel to the
charge and at the same velocity as the
charge will measure.",A magnetic field and an electric field due to the moving charge.,"A magnetic field, but not an electric field due to the moving charge.","An electric field, but not a magnetic field due to the moving charge.","Neither an electric field nor a magnetic field due to the moving charge.
E. A decrease in the amount of charge.",A magnetic field and an electric field due to the moving charge.,Kinematics,Easy,1053,2,71,178,Hard,electricity,1,1,0,QZ0182,"A person who is moving parallel to the
charge and at the same velocity as the
charge will measure.
A. A magnetic field and an electric field due to the moving charge.
B. A magnetic field, but not an electric field due to the moving charge.
C. An electric field, but not a magnetic field due to the moving charge.
D. Neither an electric field nor a magnetic field due to the moving charge.
E. A decrease in the amount of charge.","A person who is moving parallel to the
charge and at the same velocity as the
charge will measure.",1
"Q Type your question
over a trictionless light tixed pulley by an inextensible string of negligible
mass. The other end of the string is
pulled by a constant force \( \boldsymbol{F} \) in the
vertically downward direction. The
linear momentum of the block
increases by \( 2 k g m s^{-1} \) in \( 1 s \) after the
block starts from rest. Then:
\( \left(\text { Given } g=10 m s^{-2}\right) \)
This question has multiple correct options
A. The tension in the string is \( F \)
B. The tension in the string is \( 3 N \)
c. The work done by the tension on the block is \( 20 \mathrm{J} \) during this \( 1 s \)
D. The work done against the force of gravity is 10",Physics,"Q Type your question
over a trictionless light tixed pulley by an inextensible string of negligible
mass. The other end of the string is
pulled by a constant force \( \boldsymbol{F} \) in the
vertically downward direction. The
linear momentum of the block
increases by \( 2 k g m s^{-1} \) in \( 1 s \) after the
block starts from rest. Then:
\( \left(\text { Given } g=10 m s^{-2}\right) \)
This question has multiple correct options",The tension in the string is \( F \),The tension in the string is \( 3 N \),The work done by the tension on the block is \( 20 \mathrm{J} \) during this \( 1 s \),The work done against the force of gravity is 10,The tension in the string is \( 3 N \),Kinematics,Easy,1046,9,65,59,Medium,electricity,1,2,0,QZ0059,"Q Type your question
over a trictionless light tixed pulley by an inextensible string of negligible
mass. The other end of the string is
pulled by a constant force \( \boldsymbol{F} \) in the
vertically downward direction. The
linear momentum of the block
increases by \( 2 k g m s^{-1} \) in \( 1 s \) after the
block starts from rest. Then:
\( \left(\text { Given } g=10 m s^{-2}\right) \)
This question has multiple correct options
A. The tension in the string is \( F \)
B. The tension in the string is \( 3 N \)
c. The work done by the tension on the block is \( 20 \mathrm{J} \) during this \( 1 s \)
D. The work done against the force of gravity is 10","Q Type your question
over a trictionless light tixed pulley by an inextensible string of negligible
mass. The other end of the string is
pulled by a constant force \( \boldsymbol{F} \) in the
vertically downward direction. The
linear momentum of the block
increases by \( 2 k g m s^{-1} \) in \( 1 s \) after the
block starts from rest. Then:
\( \left(\text { Given } g=10 m s^{-2}\right) \)
This question has multiple correct options",2
"A cart begins from rest at the top of a long incline and rolls with a constant
acceleration of \( 2 m / s^{2} . \) How far has the
cart moved along the incline after
rolling for 3 seconds?
A. 3 meters
B. 6 meters
c. 9 meters
D. 18 meters",Physics,"A cart begins from rest at the top of a long incline and rolls with a constant
acceleration of \( 2 m / s^{2} . \) How far has the
cart moved along the incline after
rolling for 3 seconds?",3 meters,6 meters,9 meters,18 meters,3 meters,Kinematics,Easy,1080,7,88,197,Hard,mixed questions,1,1,3,QZ0141,"A cart begins from rest at the top of a long incline and rolls with a constant
acceleration of \( 2 m / s^{2} . \) How far has the
cart moved along the incline after
rolling for 3 seconds?
A. 3 meters
B. 6 meters
c. 9 meters
D. 18 meters","A cart begins from rest at the top of a long incline and rolls with a constant
acceleration of \( 2 m / s^{2} . \) How far has the
cart moved along the incline after
rolling for 3 seconds?",1
"A constant potential difference is applied across a resistance. Consider variation of resistance with
temperature. Which graph represents best the variation of power produced in
resistance versus resistance?
A. Straight Line
B. Circle
c. Parabola
D. Hyperbola",Physics,"A constant potential difference is applied across a resistance. Consider variation of resistance with
temperature. Which graph represents best the variation of power produced in
resistance versus resistance?",Straight Line,Circle,Parabola,Hyperbola,Hyperbola,Kinematics,Easy,1094,6,81,263,Hard,mixed questions,1,1,3,QZ0440,"A constant potential difference is applied across a resistance. Consider variation of resistance with
temperature. Which graph represents best the variation of power produced in
resistance versus resistance?
A. Straight Line
B. Circle
c. Parabola
D. Hyperbola","A constant potential difference is applied across a resistance. Consider variation of resistance with
temperature. Which graph represents best the variation of power produced in
resistance versus resistance?",4
"A point charge 'q' is placed outside solid copper sphere at a distance 'r'from its centre. Consider point 'p' inside the solid sphere at a distance 'x' from the point charge. Then
A. Charge density is uniform on the surface of the sphere
B. Electric field due to induced charge at point 'p' is \( \frac{k q}{x^{2}} \)
c. Electric potential due to induced charge at point 'p' is \( \frac{k q}{r} \frac{k q}{x} \)
D. There is a net force in the sphere towards the point charge 'q'",Physics,A point charge 'q' is placed outside solid copper sphere at a distance 'r'from its centre. Consider point 'p' inside the solid sphere at a distance 'x' from the point charge. Then,Charge density is uniform on the surface of the sphere,Electric field due to induced charge at point 'p' is \( \frac{k q}{x^{2}} \),Electric potential due to induced charge at point 'p' is \( \frac{k q}{r} \frac{k q}{x} \),There is a net force in the sphere towards the point charge 'q',Charge density is uniform on the surface of the sphere,Kinematics,Easy,1095,9,48,210,Medium,mechanics,1,2,2,QZ0455,"A point charge 'q' is placed outside solid copper sphere at a distance 'r'from its centre. Consider point 'p' inside the solid sphere at a distance 'x' from the point charge. Then
A. Charge density is uniform on the surface of the sphere
B. Electric field due to induced charge at point 'p' is \( \frac{k q}{x^{2}} \)
c. Electric potential due to induced charge at point 'p' is \( \frac{k q}{r} \frac{k q}{x} \)
D. There is a net force in the sphere towards the point charge 'q'",A point charge 'q' is placed outside solid copper sphere at a distance 'r'from its centre. Consider point 'p' inside the solid sphere at a distance 'x' from the point charge. Then,1
"The gravitational potential at height \( h \) above the earth's surface is \( -5.12 \times \)
\( 10^{7} \mathrm{J} / \mathrm{kg} \) and acceleration due to gravity
at this point is \( 6.4 m s^{-2} . \) If radius of the
earth is \( 6400 \mathrm{km} \), the value of h is :
A. \( 1200 \mathrm{km} \)
B. 1600 km
c. \( 1800 \mathrm{km} \)
D. 2400 km",Physics,"The gravitational potential at height \( h \) above the earth's surface is \( -5.12 \times \)
\( 10^{7} \mathrm{J} / \mathrm{kg} \) and acceleration due to gravity
at this point is \( 6.4 m s^{-2} . \) If radius of the
earth is \( 6400 \mathrm{km} \), the value of h is :",\( 1200 \mathrm{km} \),1600 km,\( 1800 \mathrm{km} \),2400 km,1600 km,Kinematics,Easy,1044,5,76,277,Hard,modern physics,1,1,4,QZ0038,"The gravitational potential at height \( h \) above the earth's surface is \( -5.12 \times \)
\( 10^{7} \mathrm{J} / \mathrm{kg} \) and acceleration due to gravity
at this point is \( 6.4 m s^{-2} . \) If radius of the
earth is \( 6400 \mathrm{km} \), the value of h is :
A. \( 1200 \mathrm{km} \)
B. 1600 km
c. \( 1800 \mathrm{km} \)
D. 2400 km","The gravitational potential at height \( h \) above the earth's surface is \( -5.12 \times \)
\( 10^{7} \mathrm{J} / \mathrm{kg} \) and acceleration due to gravity
at this point is \( 6.4 m s^{-2} . \) If radius of the
earth is \( 6400 \mathrm{km} \), the value of h is :",2
"Fill in the blank:
is the second nearest
star from the Earth.
A. Pole star
B. Sun
c. Alpha Centauri
D. Alpha Persei",Physics,"Fill in the blank:
is the second nearest
star from the Earth.",Pole star,Sun,Alpha Centauri,Alpha Persei,Pole star,Kinematics,Easy,1021,3,71,229,Hard,electricity,1,1,0,QZ0171,"Fill in the blank:
is the second nearest
star from the Earth.
A. Pole star
B. Sun
c. Alpha Centauri
D. Alpha Persei","Fill in the blank:
is the second nearest
star from the Earth.",1
"In which of the following cases is the
displacement zero?
A. When displacement and distance traveled are equal
B. When the object is travelling in a straight line
c. If there is a unique path between two points
D. If an object starts mowing from point \( A \) and comes back to \( A \) an a circular path",Physics,"In which of the following cases is the
displacement zero?",When displacement and distance traveled are equal,When the object is travelling in a straight line,If there is a unique path between two points,If an object starts mowing from point \( A \) and comes back to \( A \) an a circular path,When displacement and distance traveled are equal,Kinematics,Easy,1027,5,20,247,Easy,kinematics,1,0,1,QZ0111,"In which of the following cases is the
displacement zero?
A. When displacement and distance traveled are equal
B. When the object is travelling in a straight line
c. If there is a unique path between two points
D. If an object starts mowing from point \( A \) and comes back to \( A \) an a circular path","In which of the following cases is the
displacement zero?",1
"When an organic compound is present in an aqueous medium and is less soluble in any organic solvent then it is separated by?
A. Continuous extraction
B. Distillation
c. chromatography
D. Sublimation",Physics,When an organic compound is present in an aqueous medium and is less soluble in any organic solvent then it is separated by?,Continuous extraction,Distillation,chromatography,Sublimation,Continuous extraction,Kinematics,Easy,1030,10,71,160,Hard,modern physics,1,1,4,QZ0362,"When an organic compound is present in an aqueous medium and is less soluble in any organic solvent then it is separated by?
A. Continuous extraction
B. Distillation
c. chromatography
D. Sublimation",When an organic compound is present in an aqueous medium and is less soluble in any organic solvent then it is separated by?,1
"An electron having a charge e moves with a velocity v in X-direction. A magnetic field acts on it in Y-direction. The force on the electron acts in
A. positive direction of Y-axis
B. negative direction of Y-axis
c. positive direction of Z-axis
D. negative direction of Z-axis",Physics,An electron having a charge e moves with a velocity v in X-direction. A magnetic field acts on it in Y-direction. The force on the electron acts in,positive direction of Y-axis,negative direction of Y-axis,positive direction of Z-axis,negative direction of Z-axis,negative direction of Y-axis,Kinematics,Easy,1066,6,84,166,Hard,mixed questions,1,1,3,QZ0402,"An electron having a charge e moves with a velocity v in X-direction. A magnetic field acts on it in Y-direction. The force on the electron acts in
A. positive direction of Y-axis
B. negative direction of Y-axis
c. positive direction of Z-axis
D. negative direction of Z-axis",An electron having a charge e moves with a velocity v in X-direction. A magnetic field acts on it in Y-direction. The force on the electron acts in,2
