Questions,Subject,cleaned_question,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic
"Two bodies have same mass and speed,
then:
A. their momentums are same
B. the ratio of momentums is not determined
C. the ratio of their magnitudes of momentum is one
D. both (B) and (C) are correct",Physics,two body mass speed momentum ratio momentum determined ratio magnitude momentum one correct,Mechanics,Medium,1093,2,51,41,Medium,electricity
"Which one of the following statements
is true?
A. A motor works on the principle of electromagnetic induction
B. An electric motor converts mechanical energy into electrical energy
C. AC generator has slip rings while DC generator has a commutator
D. An electric generator converts electrical energy into mechanical energy",Physics,one follow statement true motor work principle electromagnetic induction electric motor convert mechanical energy electrical energy ac generator slip rings dc generator commutator electric generator convert electrical energy mechanical energy,Mechanics,Medium,1057,9,54,136,Medium,mechanics
"Which of the statements are false?
A. The units of physical quantity represented by volume is \( c m^{3} \)
B. The unit of physical quantity represented by mass is \( \operatorname{ton} \)
C the work done is represented by \( \frac{k g}{m} \)
D. The unit of physical quantity represented by weight is Newton",Physics,statement false unit physical quantity represent volume m3 unit physical quantity represent mass operatornameton work do represent frack gm unit physical quantity represent weight newton,Mechanics,Medium,1010,3,54,99,Medium,electricity
"A man tries to remain in equilibrium,
This question has multiple correct options
A. he must exert equal forces on the two walls
B. the forces of friction at the two walls must be equal.
C. friction must be present on both walls
D. the coefficients of friction must be the same between
both walls and the man",Physics,man try remain equilibrium question multiple correct option must exert equal force two wall force friction two wall must equal friction must present wall coefficient friction must wall man,Mechanics,Medium,1057,3,38,138,Easy,mechanics
"The condition occurring due to gradual decrease in power of accommodation because of ageing is called
A. Near-sightedness
B. Hypermetropia
c. Presbyopia
D. cataract",Physics,condition occur due gradual decrease power accommodation age call nearsightedness hypermetropia presbyopia cataract,Mechanics,Medium,1026,2,82,246,Hard,kinematics
"The mass of object \( A \) is 5 kg,that of object B is \( 40 \mathrm{kg} \),that of object \( \mathrm{C} \) is 38 kg,and that of object D is 56 kg. Which object has the greatest inertia?
\( A \cdot A \)
B. B
\( c \cdot c \)
\( D \)",Physics,mass object kgthat object 40 mathrmkg object mathrmc 38 kgand object 56 kg object great inertia cdot cdot,Mechanics,Medium,1072,6,43,262,Medium,mechanics
"A charge \( Q \) is to be distributed on two
objects, \( A \) and \( B \). The values of the
charges on the objects are such that the force between the objects will be
maximum. The ratio \( Q_{A}: Q_{B} \) will be
A . 1: 1
B. 1: 2
c. 1: 3
D. 1: 4",Physics,charge distribute two object value charge object force object maximum ratio q_a q_b,Mechanics,Medium,1009,7,52,274,Medium,electricity
"A rubber balloons of negligible mass is filled with \( 500 g \) of water. Its weight in water will be:
A \( .250 g \)
в. \( 500 g \)
c. zero
D. \( 100 g \)",Physics,rubber balloon negligible mass fill 500 water weight water 250 500 zero 100,Mechanics,Medium,1024,4,98,87,Hard,thermodynamics
"In each fission of \( _{92}^{235} \mathrm{U}, 200 \mathrm{MeV} \) energy is released. How many fissions must occur per second to produce power of \( \mathbf{1} k W ? \)
A \( \cdot 1.25 \times 10^{18} \)
В. \( 3.125 \times 10^{13} \)
C \( .3 .2 \times 10^{18} \)
D. \( 1.25 \times 10^{13} \)",Physics,fission _ 92235 mathrmu 200 mathrmmev energy release many fission must occur per second produce power mathbf1 cdot 125 time 1018 3125 time 1013 time 1018 125 time 1013,Mechanics,Medium,1045,8,88,101,Hard,thermodynamics
"Three equal charges, each having a
magnitude of \( 2.0 \times 10^{-6} C \) are placed
at the three corners of a right angled triangle of sides \( 3 \mathrm{cm}, 4 \mathrm{cm} \) and \( 5 \mathrm{cm} \) The force (in magnitude) on the charge
at the right angled corner is :
\( A .50 N \)
B . \( 26 N \)
\( \mathbf{c} \cdot 29 N \)
D. 45.9 N",Physics,three equal charge magnitude 20 time 106 place three corner right angle triangle side mathrmcm mathrmcm mathrmcm force magnitude charge right angle corner 50 26 mathbfc cdot 29 459,Mechanics,Medium,1064,6,96,256,Hard,thermodynamics
