Questions,Subject,Question,option_1,option_2,option_3,option_4,correct_answer,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic,topic_enc,diff_enc,target_enc,quiz_id,quiz_question,question,Correct_Option_Number
"The sensitiveness of a moving coil galvanometer can be increased by decreasing
A. the number of turns in the coil
B. the area of coil
c. the magnetic field
D. the couple per unit twist of the suspension",Physics,The sensitiveness of a moving coil galvanometer can be increased by decreasing,the number of turns in the coil,the area of coil,the magnetic field,the couple per unit twist of the suspension,the number of turns in the coil,Mixed Questions ,,1070,3,40,45,Medium,mechanics,3,2,2,QZ0027,"The sensitiveness of a moving coil galvanometer can be increased by decreasing
A. the number of turns in the coil
B. the area of coil
c. the magnetic field
D. the couple per unit twist of the suspension",The sensitiveness of a moving coil galvanometer can be increased by decreasing,1
"Assertion
Parallax method is used for measuring
distances of nearby stars only.
Reason
With increase of distance of star,
parallactic angle becomes too small to be measured accurately.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect",Physics,"Assertion
Parallax method is used for measuring
distances of nearby stars only.
Reason
With increase of distance of star,
parallactic angle becomes too small to be measured accurately.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Mixed Questions ,,1047,4,24,294,Easy,optics,3,0,5,QZ0068,"Assertion
Parallax method is used for measuring
distances of nearby stars only.
Reason
With increase of distance of star,
parallactic angle becomes too small to be measured accurately.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect","Assertion
Parallax method is used for measuring
distances of nearby stars only.
Reason
With increase of distance of star,
parallactic angle becomes too small to be measured accurately.",1
"Calorimeters are generally made of
A. copper
B. brass
c. aluminium
D. zinc",Physics,Calorimeters are generally made of,copper,brass,aluminium,zinc,copper,Mixed Questions ,,1084,7,44,281,Medium,mechanics,3,2,2,QZ0423,"Calorimeters are generally made of
A. copper
B. brass
c. aluminium
D. zinc",Calorimeters are generally made of,1
"Two like magnetic poles of strength 10 and \( 40 S I \) units are separated by a
distance \( 30 c m . \) The intensity of magnetic field is Zero on the line joining them.
A. At a point \( 10 \mathrm{cm} \) from stonger pole.
B. At a point \( 20 \mathrm{cm} \) from stonger pole.
c. At a mid-point.
D. At infinity.",Physics,"Two like magnetic poles of strength 10 and \( 40 S I \) units are separated by a
distance \( 30 c m . \) The intensity of magnetic field is Zero on the line joining them.",At a point \( 10 \mathrm{cm} \) from stonger pole.,At a point \( 20 \mathrm{cm} \) from stonger pole.,At a mid-point.,At infinity.,At a point \( 10 \mathrm{cm} \) from stonger pole.,Mixed Questions ,,1068,1,34,97,Easy,optics,3,0,5,QZ0209,"Two like magnetic poles of strength 10 and \( 40 S I \) units are separated by a
distance \( 30 c m . \) The intensity of magnetic field is Zero on the line joining them.
A. At a point \( 10 \mathrm{cm} \) from stonger pole.
B. At a point \( 20 \mathrm{cm} \) from stonger pole.
c. At a mid-point.
D. At infinity.","Two like magnetic poles of strength 10 and \( 40 S I \) units are separated by a
distance \( 30 c m . \) The intensity of magnetic field is Zero on the line joining them.",1
"Who was the first woman to fly in space?
A. Valentina Tereshkova
B. Rhea Seddon
c. sally Ride
D. Anna Fisher",Physics,Who was the first woman to fly in space?,Valentina Tereshkova,Rhea Seddon,sally Ride,Anna Fisher,Anna Fisher,Mixed Questions ,,1092,3,78,61,Hard,modern physics,3,1,4,QZ0157,"Who was the first woman to fly in space?
A. Valentina Tereshkova
B. Rhea Seddon
c. sally Ride
D. Anna Fisher",Who was the first woman to fly in space?,4
"A person having eye problems should eat:
A. spinach, carrot
B. egg, milk
c. rice, banana
D. meat, apple",Physics,A person having eye problems should eat:,"spinach, carrot","egg, milk","rice, banana","meat, apple","spinach, carrot",Mixed Questions ,,1087,1,46,285,Medium,mechanics,3,2,2,QZ0295,"A person having eye problems should eat:
A. spinach, carrot
B. egg, milk
c. rice, banana
D. meat, apple",A person having eye problems should eat:,1
"A superconductor has \( T_{C}(0)=100 K \)
When a magnetic field of 7.5 Tesla is
applied, its \( T_{c} \) decreases to 75 K. For this material one can definitely say that
when
A \( \cdot B=5 \) Tesla, \( T_{c}(B)=80 K \)
B. \( B=5 \) Tesla, \( 75 K<T_{c}(B)<100 K \)
c. \( B=10 \) Tesla, \( 75 K<T_{c}<100 K \)
D. \( B=10 \) Tesla, \( T_{c}=70 K \)",Physics,"A superconductor has \( T_{C}(0)=100 K \)
When a magnetic field of 7.5 Tesla is
applied, its \( T_{c} \) decreases to 75 K. For this material one can definitely say that
when
A \( \cdot B=5 \) Tesla, \( T_{c}(B)=80 K \)",=80 K \),"\( B=5 \) Tesla, \( 75 K<T_{c}(B)<100 K \)","\( B=10 \) Tesla, \( 75 K<T_{c}<100 K \)","\( B=10 \) Tesla, \( T_{c}=70 K \)",=80 K \),Mixed Questions ,,1008,8,23,224,Easy,kinematics,3,0,1,QZ0234,"A superconductor has \( T_{C}(0)=100 K \)
When a magnetic field of 7.5 Tesla is
applied, its \( T_{c} \) decreases to 75 K. For this material one can definitely say that
when
A \( \cdot B=5 \) Tesla, \( T_{c}(B)=80 K \)
B. \( B=5 \) Tesla, \( 75 K<T_{c}(B)<100 K \)
c. \( B=10 \) Tesla, \( 75 K<T_{c}<100 K \)
D. \( B=10 \) Tesla, \( T_{c}=70 K \)","A superconductor has \( T_{C}(0)=100 K \)
When a magnetic field of 7.5 Tesla is
applied, its \( T_{c} \) decreases to 75 K. For this material one can definitely say that
when
A \( \cdot B=5 \) Tesla, \( T_{c}(B)=80 K \)",1
"Nature of shear stress is
A. Positive
B. Negative
C. Positive as well as negative
D. Is always less than 0.5",Physics,Nature of shear stress is,Positive,Negative,Positive as well as negative,Is always less than 0.5,Positive,Mixed Questions ,,1028,10,73,71,Hard,electricity,3,1,0,QZ0053,"Nature of shear stress is
A. Positive
B. Negative
C. Positive as well as negative
D. Is always less than 0.5",Nature of shear stress is,1
"The weak zones around the boundaries
of plates underneath Earth, which are prone to slide and cause earthquake are commonly known as:
A. fault zone
B. eruption zone
c. explosive zone
D. sliding zone",Physics,"The weak zones around the boundaries
of plates underneath Earth, which are prone to slide and cause earthquake are commonly known as:",fault zone,eruption zone,explosive zone,sliding zone,fault zone,Mixed Questions ,,1050,8,86,111,Hard,mixed questions,3,1,3,QZ0330,"The weak zones around the boundaries
of plates underneath Earth, which are prone to slide and cause earthquake are commonly known as:
A. fault zone
B. eruption zone
c. explosive zone
D. sliding zone","The weak zones around the boundaries
of plates underneath Earth, which are prone to slide and cause earthquake are commonly known as:",1
"If a magnet is dropped through a vertical hollow copper tube, then?
A. The time taken to reach the ground is longer than the time taken, if the tube was made out of plastic
B. The magnet will get attracted and stick to the copper tube
C. The time taken to reach the ground is longer than the time taken, if the tube was made out of stainless steel
D. The time taken to reach the ground does not depend on the radius of the copper tube
E. The magnet will be repelled away by the tube",Physics,"If a magnet is dropped through a vertical hollow copper tube, then?","The time taken to reach the ground is longer than the time taken, if the tube was made out of plastic",The magnet will get attracted and stick to the copper tube,"The time taken to reach the ground is longer than the time taken, if the tube was made out of stainless steel","The time taken to reach the ground does not depend on the radius of the copper tube
E. The magnet will be repelled away by the tube","The time taken to reach the ground is longer than the time taken, if the tube was made out of plastic",Mixed Questions ,,1058,10,47,105,Medium,mechanics,3,2,2,QZ0175,"If a magnet is dropped through a vertical hollow copper tube, then?
A. The time taken to reach the ground is longer than the time taken, if the tube was made out of plastic
B. The magnet will get attracted and stick to the copper tube
C. The time taken to reach the ground is longer than the time taken, if the tube was made out of stainless steel
D. The time taken to reach the ground does not depend on the radius of the copper tube
E. The magnet will be repelled away by the tube","If a magnet is dropped through a vertical hollow copper tube, then?",1
