Questions,Subject,cleaned_question,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic
"If the radius of gold (Au) and platinum
\( (P t) \) atoms in \( p m \) is \( 100 \sqrt{2} \) and \( 90 \sqrt{2} \)
respectively, find \( n_{A u} n_{P t} \)
A . 0.52
B. 0.68
c. 0.73
D. 0.74",Physics,radius gold au platinum atom 100 sqrt2 90 sqrt2 respectively find n_a n_p 052 068 073 074,Modern Physics,Hard,1036,10,37,220,Easy,modern physics
"Which of the following is the radio isotope in this pair?
\( _{15}^{30} P_{, 15}^{32} P \)
B . \( _{15}^{30} P \)
c. Both of them
D. None of them",Physics,follow radio isotope pair _ 1530 p _ 1532 _ 1530 none,Modern Physics,Hard,1007,2,22,65,Easy,modern physics
"An electron is projected so that it crosses three different regions of space
as shown. if \( B_{1}, B_{2} \) and \( B_{3} \) are the
magnetic field in the region,then:
\( A \cdot B_{1} \) is inward
B. \( B_{2} \) is outward
\( c \cdot B_{3} \) is inward
D. All of these",Physics,electron project crosse three different region space show b_1 b_2 b_3 magnetic field regionthen cdot b_1 inward b_2 outward cdot b_3 inward,Modern Physics,Hard,1097,10,59,181,Medium,optics
"The function of heavy water in a nuclear
reactor to:
A. slow down the neutrons
B. increase the neutrons
c. stop the electrons
D. none of these",Physics,function heavy water nuclear reactor slow neutron increase neutron stop electron none,Modern Physics,Hard,1052,5,78,70,Hard,kinematics
"Assertion
\( \mathbf{9 2} \mathbf{U}^{\mathbf{2 3 5}}+\mathbf{o} \mathbf{n}^{\mathbf{1}} \longrightarrow \mathbf{5 6} \mathbf{B a}^{\mathbf{1 4 0}}+\mathbf{3 6} \mathbf{K e}^{\mathbf{9 3}}+ \)
\( 3 \mathrm{on}^{1} \) is a nuclear fission reaction.
Reason
Neutrons emitted do not react further.
A. Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
C. Assertion is correct but Reason is incorrect
D. Assertion is incorrect but Reason is correct",Physics,assertion mathbf9 mathbfumathbf2 5mathbfo mathbfnmathbf1 longrightarrow mathbf5 mathbfb amathbf1 0mathbf3 mathbfk emathbf9 mathrmon1 nuclear fission reaction reason neutron emit react assertion reason correct reason correct explanation assertion assertion reason correct reason correct explanation assertion assertion correct reason incorrect assertion incorrect reason correct,Modern Physics,Hard,1012,10,75,65,Hard,kinematics
"Which atom contains exactly 15
neutrons?
A \( \cdot P^{32} \) (atomic number \( =17 \) )
B. \( S^{32} \) (atomic number \( =16 \) )
\( \mathrm{c} \cdot O^{15} \) (atomic number \( =8 \)
D. \( N^{15} \) stomic number \( =7 \)",Physics,atom contain exactly 15 neutron cdot p32 atomic number 17 s32 atomic number 16 mathrmc cdot o15 atomic number n15 stomic number,Modern Physics,Hard,1009,1,85,169,Hard,kinematics
"In the nuclear reaction pictured below, what is the missing nuclide? \( _{1}^{2} \boldsymbol{H}+\mathbf{7}^{14} \boldsymbol{N} \rightarrow_{2}^{3} \boldsymbol{H} \boldsymbol{e}+? \)
B . \( _{6}^{13} \mathrm{C} \)
\( \mathbf{c} \cdot \frac{14}{7} N \)
D. \( _{6}^{1} C \)
E \( \cdot \frac{12}{6} C \)",Physics,nuclear reaction picture miss nuclide _ 12 boldsymbolhmathbf714 boldsymboln rightarrow_23 boldsymbolh boldsymbole _ 613 mathrmc mathbfc cdot frac147 _ 61 cdot frac126,Modern Physics,Hard,1021,9,54,150,Medium,electricity
"Einstein was awarded a Noble Prize for:
A. Photo electric effect
B. Compton effect
c. Theory of relativity
D. None of the above",Physics,einstein award noble prize photo electric effect compton effect theory relativity none,Modern Physics,Hard,1066,6,66,198,Medium,optics
"Pick out the isoelectronic species from the following:
\( (\boldsymbol{I}) \boldsymbol{C} \boldsymbol{H}_{3}^{+} \)
\( (\boldsymbol{I I}) \boldsymbol{H}_{3} \boldsymbol{O}^{+} \)
\( (I I I) N H_{3} \)
A. I and II
B. III and IV only
c. I and III
D. II, III, IV",Physics,pick isoelectronic specie follow boldsymboli boldsymbolc boldsymbolh_3 boldsymboli boldsymbolh_3 boldsymbolo h_3 ii iii iv iii ii iii iv,Modern Physics,Hard,1055,5,97,182,Hard,thermodynamics
"If \( N^{A} \) is number density of acceptor
atoms added and \( N^{D} \) is number
density of donor atoms added to a
semiconductor, \( n^{e} \) and \( n^{n} \) are the
number density of electrons and holes in it,then
A \( \cdot n^{e}=N^{D}, n^{n}=N^{A} \)
B . \( n^{e}=N^{A}, n^{h}=N^{D} \)
c. \( N^{A}+n^{n}=N^{D}+n^{\text {ศ }} \)
D. \( n^{e}+N^{A}=n^{n}+N^{D} \)",Physics,na number density acceptor atom add nd number density donor atom add semiconductor ne nn number density electron hole itthen cdot nend nnna nena nhnd nannndntext nenannnd,Modern Physics,Hard,1075,1,29,189,Easy,modern physics
