Questions,Subject,Question,option_1,option_2,option_3,option_4,correct_answer,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic,topic_enc,diff_enc,target_enc,quiz_id,quiz_question,question,Correct_Option_Number
"In a circuit two or more cells of the
same e.m.f are connected in parallel in
order to:
A. increase the P.D across a resistance in the circuit
B. decrease the P.D across a resistance in the circuit
C. facilitate drawing more current from the battery system
D. change the e.m.f across the system of batteries",Physics,"In a circuit two or more cells of the
same e.m.f are connected in parallel in
order to:",increase the P.D across a resistance in the circuit,decrease the P.D across a resistance in the circuit,facilitate drawing more current from the battery system,change the e.m.f across the system of batteries,increase the P.D across a resistance in the circuit,Electricity,Hard,1070,10,52,31,Medium,thermodynamics ,0,2,6,QZ0192,"In a circuit two or more cells of the
same e.m.f are connected in parallel in
order to:
A. increase the P.D across a resistance in the circuit
B. decrease the P.D across a resistance in the circuit
C. facilitate drawing more current from the battery system
D. change the e.m.f across the system of batteries","In a circuit two or more cells of the
same e.m.f are connected in parallel in
order to:",1
"When potential difference is applied across an electrolyte, then Ohm's law is obeyed at
A. zero potential
B. very low potential
c. negative potential
D. high potential",Physics,"When potential difference is applied across an electrolyte, then Ohm's law is obeyed at",zero potential,very low potential,negative potential,high potential,zero potential,Electricity,Hard,1091,1,76,168,Hard,electricity,0,1,0,QZ0014,"When potential difference is applied across an electrolyte, then Ohm's law is obeyed at
A. zero potential
B. very low potential
c. negative potential
D. high potential","When potential difference is applied across an electrolyte, then Ohm's law is obeyed at",1
"A rectangular loop carrying a current
is situated near a long straight wire such that the wire is parallel to the one
of the sides of the loop and is in the plane of the loop. If a steady current lis established in wire as shown in
the figure, the loop will
A. Rotate about an axis parallel to the wire
B. Move away from the wire or towards right
c. Move towards the wire
D. Remain stationary",Physics,"A rectangular loop carrying a current
is situated near a long straight wire such that the wire is parallel to the one
of the sides of the loop and is in the plane of the loop. If a steady current lis established in wire as shown in
the figure, the loop will",Rotate about an axis parallel to the wire,Move away from the wire or towards right,Move towards the wire,Remain stationary,Rotate about an axis parallel to the wire,Electricity,Hard,1087,2,24,267,Easy,kinematics,0,0,1,QZ0331,"A rectangular loop carrying a current
is situated near a long straight wire such that the wire is parallel to the one
of the sides of the loop and is in the plane of the loop. If a steady current lis established in wire as shown in
the figure, the loop will
A. Rotate about an axis parallel to the wire
B. Move away from the wire or towards right
c. Move towards the wire
D. Remain stationary","A rectangular loop carrying a current
is situated near a long straight wire such that the wire is parallel to the one
of the sides of the loop and is in the plane of the loop. If a steady current lis established in wire as shown in
the figure, the loop will",1
"By inserting an iron core in a coil carrying current,the strength of its magnetic field will:
A. Increase
B. Decrease
c. Remain same
D. Become zero",Physics,"By inserting an iron core in a coil carrying current,the strength of its magnetic field will:",Increase,Decrease,Remain same,Become zero,Increase,Electricity,Hard,1041,6,51,101,Medium,thermodynamics ,0,2,6,QZ0290,"By inserting an iron core in a coil carrying current,the strength of its magnetic field will:
A. Increase
B. Decrease
c. Remain same
D. Become zero","By inserting an iron core in a coil carrying current,the strength of its magnetic field will:",1
"Three points charges are placed at the
corners of an equilateral triangle of side
\( L \) shown in the figure.
This question has multiple correct options
A. The potential at the centroid of the triangle is zero
B. The electric field at the centroid of the triangle is zero
C. The dipole moment of the system is \( \sqrt{2} q L \)
D. The dipole moment of the system is \( \sqrt{3} q L \)",Physics,"Three points charges are placed at the
corners of an equilateral triangle of side
\( L \) shown in the figure.
This question has multiple correct options",The potential at the centroid of the triangle is zero,The electric field at the centroid of the triangle is zero,The dipole moment of the system is \( \sqrt{2} q L \),The dipole moment of the system is \( \sqrt{3} q L \),The dipole moment of the system is \( \sqrt{3} q L \),Electricity,Hard,1073,6,46,284,Medium,thermodynamics ,0,2,6,QZ0222,"Three points charges are placed at the
corners of an equilateral triangle of side
\( L \) shown in the figure.
This question has multiple correct options
A. The potential at the centroid of the triangle is zero
B. The electric field at the centroid of the triangle is zero
C. The dipole moment of the system is \( \sqrt{2} q L \)
D. The dipole moment of the system is \( \sqrt{3} q L \)","Three points charges are placed at the
corners of an equilateral triangle of side
\( L \) shown in the figure.
This question has multiple correct options",4
"In a p-type semiconductor, the electron current is \( _{-}-_{-}-_{-}- \) the hole current.
A. equal to
B. less than
c. greater than
D. none of the above",Physics,"In a p-type semiconductor, the electron current is \( _{-}-_{-}-_{-}- \) the hole current.",equal to,less than,greater than,none of the above,equal to,Electricity,Hard,1048,10,55,69,Medium,thermodynamics ,0,2,6,QZ0204,"In a p-type semiconductor, the electron current is \( _{-}-_{-}-_{-}- \) the hole current.
A. equal to
B. less than
c. greater than
D. none of the above","In a p-type semiconductor, the electron current is \( _{-}-_{-}-_{-}- \) the hole current.",1
"Assertion
Kirchhoff's junction rule can be applied to a junction of several lines or a point in a line.
Reason
When steady current is flowing, there is no accumulation of charges at any junction or at any point in a line.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect",Physics,"Assertion
Kirchhoff's junction rule can be applied to a junction of several lines or a point in a line.
Reason
When steady current is flowing, there is no accumulation of charges at any junction or at any point in a line.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Electricity,Hard,1075,3,68,209,Medium,electricity,0,2,0,QZ0242,"Assertion
Kirchhoff's junction rule can be applied to a junction of several lines or a point in a line.
Reason
When steady current is flowing, there is no accumulation of charges at any junction or at any point in a line.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect","Assertion
Kirchhoff's junction rule can be applied to a junction of several lines or a point in a line.
Reason
When steady current is flowing, there is no accumulation of charges at any junction or at any point in a line.",1
"Assertion
The effects of charge exchange are usually only noticed when at least one
of the surfaces has a high resistance to
electrical flow.
Reason
This is because the charges that transfer to or from the highly resistive
surface are more or less trapped there for a long enough time for their effects to be observed.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect",Physics,"Assertion
The effects of charge exchange are usually only noticed when at least one
of the surfaces has a high resistance to
electrical flow.
Reason
This is because the charges that transfer to or from the highly resistive
surface are more or less trapped there for a long enough time for their effects to be observed.",A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Electricity,Hard,1065,6,42,180,Medium,mechanics,0,2,2,QZ0057,"Assertion
The effects of charge exchange are usually only noticed when at least one
of the surfaces has a high resistance to
electrical flow.
Reason
This is because the charges that transfer to or from the highly resistive
surface are more or less trapped there for a long enough time for their effects to be observed.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect","Assertion
The effects of charge exchange are usually only noticed when at least one
of the surfaces has a high resistance to
electrical flow.
Reason
This is because the charges that transfer to or from the highly resistive
surface are more or less trapped there for a long enough time for their effects to be observed.",1
"The electrical circuit used to get
smooth D.C output from a rectifier circuit is called:
\( \mathbf{A} \). Filter
B. Oscillator
c. \( \operatorname{cogic} \) gates
D. Amplifier",Physics,"The electrical circuit used to get
smooth D.C output from a rectifier circuit is called:
\( \mathbf{A} \). Filter","C output from a rectifier circuit is called:
\( \mathbf{A} \). Filter",Oscillator,\( \operatorname{cogic} \) gates,Amplifier,"C output from a rectifier circuit is called:
\( \mathbf{A} \). Filter",Electricity,Hard,1051,3,21,260,Easy,kinematics,0,0,1,QZ0142,"The electrical circuit used to get
smooth D.C output from a rectifier circuit is called:
\( \mathbf{A} \). Filter
B. Oscillator
c. \( \operatorname{cogic} \) gates
D. Amplifier","The electrical circuit used to get
smooth D.C output from a rectifier circuit is called:
\( \mathbf{A} \). Filter",1
"The gold leaf electroscope is charged so that its leaves somewhat diverge. If \( X \) rays are incident on the electroscope
then
A. the divergence will decrease
B. the divergence of leaves will remain unchanged
c. the gold leaves will melt
D. the divergence will increase",Physics,"The gold leaf electroscope is charged so that its leaves somewhat diverge. If \( X \) rays are incident on the electroscope
then",the divergence will decrease,the divergence of leaves will remain unchanged,the gold leaves will melt,the divergence will increase,the divergence will decrease,Electricity,Hard,1016,1,87,179,Hard,mixed questions,0,1,3,QZ0265,"The gold leaf electroscope is charged so that its leaves somewhat diverge. If \( X \) rays are incident on the electroscope
then
A. the divergence will decrease
B. the divergence of leaves will remain unchanged
c. the gold leaves will melt
D. the divergence will increase","The gold leaf electroscope is charged so that its leaves somewhat diverge. If \( X \) rays are incident on the electroscope
then",1
