Questions,Subject,cleaned_question,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic,question,option_1,option_2,option_3,option_4,correct_answer
"The magnetic field produced by a current-carrying wire at a given point depends on
A. the current passing through it
B. the voltage across it
c. the power through it
D. all",Physics,magnetic field produced currentcarrying wire given point depends current passing voltage across power,Mechanics,Medium,1056,8,68,34,Medium,optics,The magnetic field produced by a current-carrying wire at a given point depends on,the current passing through it,the voltage across it,the power through it,all,
"A mass \( \mathrm{M} \) is broken in two parts: \( \mathrm{m} \) and \( (M-m) . \) Relation between \( m \) and \( M s o \)
that the force of gravitation between the two parts is maximum is.
\( A \cdot m M=2 \)
в. \( m=\frac{M}{2} \)
c. \( M=m^{2} \)
D. None of these",Physics,mass mathrmm broken two part mathrmm mm relation force gravitation two part maximum cdot m2 mfracm2 mm2 none,Mechanics,Medium,1002,10,99,70,Hard,thermodynamics,,,,,,
"The first member of the Balmer series of
hydrogen atom has wavelength of \( 6561 A \). The wavelength of the second member of the Balmer series (in \( n m \) ) is",Physics,first member balmer series hydrogen atom wavelength 6561 wavelength second member balmer series,Modern Physics,Hard,1086,9,46,177,Medium,optics,,,,,,
"Assertion
Work done by friction depends upon
displacement of the body.
Reason
Frictional force is non-conservative.
A. Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is
not the correct explanation for Assertion
C. Assertion is correct but Reason is incorrect
D. Assertion is incorrect but Reason is correct",Physics,assertion work done friction depends upon displacement body reason frictional force nonconservative assertion reason correct reason correct explanation assertion assertion reason correct reason correct explanation assertion assertion correct reason incorrect assertion incorrect reason correct,Kinematics,Easy,1033,3,66,259,Medium,optics,"Assertion
Work done by friction depends upon
displacement of the body.
Reason
Frictional force is non-conservative.","Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion","Both Assertion and Reason are correct but Reason is
not the correct explanation for Assertion",Assertion is correct but Reason is incorrect,Assertion is incorrect but Reason is correct,
"Object will remain at rest or in uniform motion in a straight line unless acted upon by an external force - which law is
this?
A. Newton's third law
B. Newton's first law
c. Newton's second law
D. None of these",Physics,object remain rest uniform motion straight line unless acted upon external force law newton third law newton first law newton second law none,Kinematics,Easy,1085,2,80,96,Hard,kinematics,"Object will remain at rest or in uniform motion in a straight line unless acted upon by an external force - which law is
this?",Newton's third law,Newton's first law,Newton's second law,None of these,
"In a Geiger Marsden experiment, calculate the distance of closest
approach to the nucleus of \( Z=\mathbf{7 5} \)
when an \( \alpha \) -particle of \( 5 M e V \) energy impinges on it before it comes momentarily to rest and reverse its direction.
How will the distance of closest
approach be affected when the kinetic energy of the \( \alpha \) -particle is doubled?",Physics,geiger marsden experiment calculate distance closest approach nucleus zmathbf7 alpha particle energy impinges come momentarily rest reverse direction distance closest approach affected kinetic energy alpha particle doubled,Kinematics,Easy,1014,7,44,143,Medium,optics,,,,,,
"Distinguish between regular and
diffused reflection. Does diffused
refection mean the failure of the laws of
reflection?",Physics,distinguish regular diffused reflection diffused refection mean failure law reflection,Optics,Easy,1081,3,32,233,Easy,optics,,,,,,
"Fill in the blanks with suitable words
A ray of light passes undeviated after
refraction from a thin lens when it is
incident at",Physics,fill blank suitable word ray light pass undeviated refraction thin lens incident,Optics,Easy,1020,5,64,188,Medium,electricity,,,,,,
"The acceleration of a moving body can be found from the area under velocitytime graph.
A. True
B. False",Physics,acceleration moving body found area velocitytime graph true false,Kinematics,Easy,1040,2,90,295,Hard,thermodynamics,,,,,,
"The voltage can be increased, but
electric breakdown will occur if the
electric field inside the capacitor becomes too large. The capacity can be increased by
A. expanding the electrode areas
B. reducing the gap between the electrodes
c. expanding the gap between the electrodes
D. Both A and B",Physics,voltage increased electric breakdown occur electric field inside capacitor becomes large capacity increased expanding electrode area reducing gap electrode expanding gap electrode,Electricity,Hard,1021,3,88,216,Hard,thermodynamics,"The voltage can be increased, but
electric breakdown will occur if the
electric field inside the capacitor becomes too large. The capacity can be increased by",expanding the electrode areas,reducing the gap between the electrodes,expanding the gap between the electrodes,Both A and B,
"The force per unit length between two long straight conductors carrying currents 3 A each in the same direction
and separated by a distance of \( 2.0 \mathrm{cm} \) is
A \( \cdot 9 \times 10^{-7} N / m \)
В. \( 9 \times 10^{-6} N / m \)
c. \( 9 \times 10^{-5} N / m \)
D. \( 9 \times 10^{-4} N / m \)",Physics,force per unit length two long straight conductor carrying current direction separated distance 20 mathrmcm cdot time 107 time 106 time 105 time 104,Mechanics,Medium,1004,7,63,242,Medium,electricity,,,,,,
"The inertia of a moving body makes it:
A. stop due to friction
B. increase its speed
c. decrease its speed
D. resist a change in its state of motion",Physics,inertia moving body make stop due friction increase speed decrease speed resist change state motion,Kinematics,Easy,1029,10,92,143,Hard,thermodynamics,The inertia of a moving body makes it:,stop due to friction,increase its speed,decrease its speed,resist a change in its state of motion,
"A particle A has charge +q and a particle B has a charge +9q with each of them having the same mass m.If both the particles are allowed to all from rest through the same potential difference, then the ratio of their speed is
A .1: 2
B. \( 1: \sqrt{3} \)
c. \( 1: 2 \sqrt{2} \)
D. none of these",Physics,particle charge particle charge 9q mass mif particle allowed rest potential difference ratio speed sqrt3 sqrt2 none,Kinematics,Easy,1070,9,69,57,Medium,mechanics,,,,,,
"What kind of lens is there in our eyes?
A. concave
B. convex
c. Plano-concave
D. Plano-convex",Physics,kind lens eye concave convex planoconcave planoconvex,Optics,Easy,1009,9,70,175,Hard,thermodynamics,What kind of lens is there in our eyes?,concave,convex,Plano-concave,Plano-convex,
"The electric field at a distance \( 2 \mathrm{cm} \) from the centre of a hollow spherical conducting shell of radius \( 4 \mathrm{cm} \) having a charge of \( 2 \times 10^{-3} \mathrm{C} \) on its surface is :
This question has multiple correct options
A . \( 1.1 \times 10^{10} V / m \)
B . \( 4.5 \times 10^{-10} V / m \)
C \( .4 .5 \times 10^{10} V / m \)
D. zero",Physics,electric field distance mathrmcm centre hollow spherical conducting radius mathrmcm charge time 103 mathrmc surface question multiple correct option 11 time 1010 45 time 1010 time 1010 zero,Electricity,Hard,1057,6,79,300,Hard,kinematics,,,,,,
"Two particles 1 and 2 are projected
simultaneously with velocities \( v_{1} \) and
\( v_{2}, \) respectively. Particle 1 is projected vertically up from the top of a cliff of height h and particle 2 is projected vertically up from the bottom of the cliff Find the time of meeting of particles, if the bodies meet (a) Above the top of the
cliff,
(b) Between the top and bottom of the cliff, and (c) below the bottom of the
cliff, find the time of the meeting of the particles.",Physics,two particle projected simultaneously velocity v_1 v_2 respectively particle projected vertically top cliff height particle projected vertically bottom cliff find time meeting particle body meet top cliff top bottom cliff bottom cliff find time meeting particle,Kinematics,Easy,1056,2,92,120,Hard,thermodynamics,,,,,,
"A cylinder contains a gas at temperature
of \( 27^{0} \mathrm{C} \) and a pressure 1 MPa. If the temperature of the gas
is lowered to \( -23^{0} \mathrm{C} \), the change in pressure
is
A. \( 1 \mathrm{MPa} \)
B. \( 5 / 6 \) MPa
C . \( 1 / 6 \mathrm{MPa} \)
D. \( 5 \mathrm{MPa} \)",Physics,cylinder contains gas temperature 270 mathrmc pressure mpa temperature gas lowered 230 mathrmc change pressure mathrmmpa mpa mathrmmpa mathrmmpa,Thermodynamics,Medium,1011,7,75,151,Hard,thermodynamics,"A cylinder contains a gas at temperature
of \( 27^{0} \mathrm{C} \) and a pressure 1 MPa. If the temperature of the gas
is lowered to \( -23^{0} \mathrm{C} \), the change in pressure
is","If the temperature of the gas
is lowered to \( -23^{0} \mathrm{C} \), the change in pressure
is",\( 1 \mathrm{MPa} \),"\( 5 / 6 \) MPa
C . \( 1 / 6 \mathrm{MPa} \)",\( 5 \mathrm{MPa} \),
"(a) Show, giving via suitable diagram, how unpolarized light can be polarised by reflection.
(b) Two polaroids \( P_{1} \) and \( P_{2} \) are placed with their pass axes perpendicular to
each other. Unpolarised light of
intensity \( I_{0} \) is incident on \( P_{1} . \) A third
Polaroid \( P_{3} \) is kept in between \( P_{1} \) and \( P_{2} \)
such that its pass axis makes an angle
of \( 60^{\circ} \) with that of \( P_{1} \). Determine the
intensity of light transmitted through
\( P_{1}, P_{2} \) and \( P_{3} \)",Physics,show giving via suitable diagram unpolarized light polarised reflection two polaroid p_1 p_2 placed pas ax perpendicular unpolarised light intensity i_0 incident p_1 third polaroid p_3 kept p_1 p_2 pas axis make angle 60circ p_1 determine intensity light transmitted p_1 p_2 p_3,Optics,Easy,1096,5,51,215,Medium,mechanics,,,,,,
"Calculate the vertical height of a mercury column (in \( \mathrm{m} \) ) which exerts a
pressure of \( 81600 P a . \) (Density of mercury is \( 13.6 g c m^{-3} \) and \( g=10 m \)
\( s^{-2} \)",Physics,calculate vertical height mercury column mathrmm exerts pressure 81600 density mercury 136 m3 g10 s2,Other,Unknown,1079,3,33,201,Easy,other,,,,,,
"A particle moves rectilinearly. its displacement \( x \) at time \( t \) is given by
\( x^{2}=t^{2}+1 . \) Its acceleration at time \( t \) is
proportional to
A \( \cdot \frac{1}{x^{3}} \)
B. \( \frac{1}{x}-\frac{1}{x^{2}} \)
\( c \cdot-\frac{t}{x^{2}} \)
D. \( \frac{1}{x}-\frac{t^{2}}{x^{3}} \)",Physics,particle move rectilinearly displacement time given x2t21 acceleration time proportional cdot frac1x3 frac1xfrac1x2 cdotfractx2 frac1xfract2x3,Kinematics,Easy,1073,8,71,205,Hard,thermodynamics,,,,,,
"A block of mass of a 2 kg with
dimensions \( 5 c m \times 20 c m \times 10 c m \)
respectively. The ratio of maximum to
minimum pressure it exerts on the change in orientation is :
A . 1:
B. 1: 2
\( c \cdot 1: 4 \)
D. 4: 1",Physics,block mass kg dimension time 20 time 10 respectively ratio maximum minimum pressure exerts change orientation cdot,Mechanics,Medium,1079,9,89,89,Hard,thermodynamics,,,,,,
A ray of light passes from air into a liquid The glancing angle is 30 The deviation produced in the ray of light is 15 The refractive index of liquid is;,Physics,ray light pass air liquid glancing angle 30 deviation produced ray light 15 refractive index liquid,Optics,Easy,1068,10,20,172,Easy,optics,,,,,,
"The fraction occupied by nucleus in an
atom is",Physics,fraction occupied nucleus atom,Modern Physics,Hard,1074,7,50,31,Medium,mechanics,,,,,,
"The effficiency of carnot cycle is given by:
\( \mathbf{A} \cdot\left(1-T_{2} / T_{1}\right) \)
B. \( \left(1+T_{2} / T_{1}\right) \)
c. \( \left(1-T_{1} / T_{2}\right) \)
D. \( \left(1-T_{2} \times T_{1}\right) \)",Physics,effficiency carnot cycle given mathbfa cdotleft1t_2 t_1right left1t_2 t_1right left1t_1 t_2right left1t_2 time t_1right,Other,Unknown,1099,10,71,114,Hard,kinematics,,,,,,
"In which of the following cases of rolling body, translatory and rotational kinetic energies are equal
A. Circular ring
B. Circular plate
c. Solid sphere
D. solid cylinder",Physics,following case rolling body translatory rotational kinetic energy equal circular ring circular plate solid sphere solid cylinder,Mechanics,Medium,1017,5,59,176,Medium,optics,"In which of the following cases of rolling body, translatory and rotational kinetic energies are equal",Circular ring,Circular plate,Solid sphere,solid cylinder,
"Explain the use of P-N junction diode as
full wave rectifier on the basis of the
following points.
(i) Labelled circuit diagram
(ii) Working method
(iii) Graph between input and output potential with the variation of time.",Physics,explain use pn junction diode full wave rectifier basis following point labelled circuit diagram ii working method iii graph input output potential variation time,Kinematics,Easy,1091,1,66,83,Medium,mechanics,,,,,,
"The safety fuse should have
A. high resistance and high melting point
B. high resistance and low melting point
C. low resistance and high melting point
D. low resistance and low melting point",Physics,safety fuse high resistance high melting point high resistance low melting point low resistance high melting point low resistance low melting point,Electricity,Hard,1076,2,60,43,Medium,mechanics,The safety fuse should have,high resistance and high melting point,high resistance and low melting point,low resistance and high melting point,low resistance and low melting point,
"A disease, in which eye lens become cloudy and the opaque lens is removed and a new artificial lens is inserted, is :
A. hypermetropia
B. astigmatism
c. cataract
D. near-sightedness",Physics,disease eye lens become cloudy opaque lens removed new artificial lens inserted hypermetropia astigmatism cataract nearsightedness,Optics,Easy,1003,10,94,134,Hard,kinematics,"A disease, in which eye lens become cloudy and the opaque lens is removed and a new artificial lens is inserted, is :",hypermetropia,astigmatism,cataract,near-sightedness,
"Three identical blocks, each of mass
10 kg , are pulled as shown on the
horizontal frictionless surface. If the
tension (F) in the rope is \( 30 N . \) What is the acceleration of each block? And
what are the tensions in the other
ropes? (Neglect the masses of the ropes)",Physics,three identical block mass 10 kg pulled shown horizontal frictionless surface tension rope 30 acceleration block tension rope neglect mass rope,Kinematics,Easy,1048,7,45,125,Medium,optics,,,,,,
