Questions,Subject,Question,option_1,option_2,option_3,option_4,correct_answer,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic
"Match the terms in column I with those
of column II
\( \begin{array}{ll}\text { Column - I } & \text { Column - II } \\ \text { i. Electric fuse } & \text { A. Chemical effect } \\ \text { ii. Relay } & \text { B. Electric discharge } \\ \text { iii. CFL } & \text { C. Magnetic effect } \\ \text { iv. Button cell } & \text { D. Heating effect }\end{array} \)
iii-A, iv-D
\( A \cdot \) i-C, ii-B,
B. i-B, ii-A, iii-C, iv-D
c. i-D, ii-C, iii-B, iv-A
D. i-D, ii-B, iii-C, iv-D",Physics,"Match the terms in column I with those
of column II
\( \begin{array}{ll}\text { Column - I } & \text { Column - II } \\ \text { i. Electric fuse } & \text { A. Chemical effect } \\ \text { ii. Relay } & \text { B. Electric discharge } \\ \text { iii. CFL } & \text { C. Magnetic effect } \\ \text { iv. Button cell } & \text { D. Heating effect }\end{array} \)
iii-A, iv-D
\( A \cdot \) i-C, ii-B,","Chemical effect } \\ \text { ii. Relay } & \text { B. Electric discharge } \\ \text { iii. CFL } & \text { C. Magnetic effect } \\ \text { iv. Button cell } & \text { D. Heating effect }\end{array} \)
iii-A, iv-D
\( A \cdot \) i-C, ii-B,","i-B, ii-A, iii-C, iv-D","i-D, ii-C, iii-B, iv-A","i-D, ii-B, iii-C, iv-D",,Thermodynamics,Medium,1058,4,42,104,Medium,electricity
"A metal cylinder of length \( L \) is
subjected to a uniform compressive
force \( F \) as shown in the figure. The
material of the cylinder has Young's modulus \( Y \) and Poisson's ratio \( \sigma \). The
change in volume of the cylinder is:
\( ^{\mathrm{A}} \cdot \frac{\sigma F L}{Y} \)
B. \( \frac{(1-\sigma) F L}{Y} \)
\( c \)
\( D \)",Physics,,,,,,,Kinematics,Easy,1100,7,89,57,Hard,thermodynamics
"Fill in the blank.
The reflection of sunlight takes place the water droplets to
form a rainbow.
A . outside
B. inside
c. beside
D. below",Physics,,,,,,,Optics,Easy,1013,4,75,244,Hard,kinematics
"The unified atomic mass unit is the
standard unit that is used for
indicating mass on an atomic or molecular scale. If true enter 1 , else
enter 0",Physics,,,,,,,Mechanics,Medium,1045,2,55,37,Medium,electricity
"State whether true or false.
The image formed in a plane mirror is formed as far behind the mirror as the
object is in front of it.
A. True
B. False",Physics,,,,,,,Optics,Easy,1055,8,60,126,Medium,optics
"In the series \( L C R \) circuit as shown in
figure, the voltmeter and ammeter
readings are:
A. \( V=100 \) volt, \( I=2 \) amp
B. \( V=100 \) volt, \( I=5 \) amp
c. \( V=1000 \) volt, \( I=2 \) amp
D. \( V=300 \) volt, \( I=1 \) amp",Physics,"In the series \( L C R \) circuit as shown in
figure, the voltmeter and ammeter
readings are:","\( V=100 \) volt, \( I=2 \) amp","\( V=100 \) volt, \( I=5 \) amp","\( V=1000 \) volt, \( I=2 \) amp","\( V=300 \) volt, \( I=1 \) amp",,Electricity,Hard,1072,8,54,36,Medium,optics
"A converging lens of focal length \( f_{1} \) is
placed in front of and coaxially with a
convex mirror of focal length \( f_{2} \). Their
separation is d and whole arrangement
is in air. A parallel beam of light
incident on the lens returns as a
parallel beam from the arrangement.
Then
This question has multiple correct options
A. The diameter of incident and emergent beam is the same
B. The distance d can be \( f_{1} \)
C. The distance d can be \( f_{2} \)
D. The distance d can be \( f_{1}-2 f_{2} \)",Physics,"A converging lens of focal length \( f_{1} \) is
placed in front of and coaxially with a
convex mirror of focal length \( f_{2} \). Their
separation is d and whole arrangement
is in air. A parallel beam of light
incident on the lens returns as a
parallel beam from the arrangement.
Then
This question has multiple correct options",The diameter of incident and emergent beam is the same,The distance d can be \( f_{1} \),The distance d can be \( f_{2} \),The distance d can be \( f_{1}-2 f_{2} \),,Optics,Easy,1024,2,32,116,Easy,optics
"Assertion: Specific heat of a body is
always more than its thermal capacity
Reason : Thermal capacity is the heat required for raising temperature of unit mass of the body through unit degree.
A. Both assertion and reason are correct and reason is the correct explanation of the assertion.
B. Both assertion and reason are correct, but reason is not the correct explanation of the assertion.
c. Assertion is correct but reason is incorrect
D. Assertion is incorrect but Reason is correct
E. Both assertion and reason is incorrect",Physics,"Assertion: Specific heat of a body is
always more than its thermal capacity
Reason : Thermal capacity is the heat required for raising temperature of unit mass of the body through unit degree.",Both assertion and reason are correct and reason is the correct explanation of the assertion.,"Both assertion and reason are correct, but reason is not the correct explanation of the assertion.",Assertion is correct but reason is incorrect,"Assertion is incorrect but Reason is correct
E. Both assertion and reason is incorrect",,Mechanics,Medium,1040,9,68,77,Medium,optics
"Which of the following statements is
true?
A. The image formed by a pinhole camera is inverted because light travels in a straight line.
B. Light does not change its direction on reflection.
C. As we move the object away from the light source, the shadow of the object becomes smaller.
D. Reflection is possible only from polished surface.",Physics,"Which of the following statements is
true?",The image formed by a pinhole camera is inverted because light travels in a straight line.,Light does not change its direction on reflection.,"As we move the object away from the light source, the shadow of the object becomes smaller.",Reflection is possible only from polished surface.,,Optics,Easy,1001,9,46,253,Medium,optics
"The time constant of an inductance coil
is \( 2 \times 10^{-3} \) s. When a \( 90 \Omega \) resistance is
joined in series, the same constant becomes \( 0.5 \times 10^{-3} \) s. The inductance
and resistance of the coil are
A. \( 30 m H ; 30 \Omega \)
в. \( 60 m H ; 30 \Omega \)
c. \( 30 m H ; 60 \Omega \)
D. \( 60 m H ; 60 \Omega \)",Physics,,,,,,,Electricity,Hard,1014,5,57,191,Medium,electricity
