Questions,Subject,Question,option_1,option_2,option_3,option_4,correct_answer,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic,topic_enc,diff_enc,target_enc,quiz_id,Correct_Option_Number
"\( 150 g \) of ice is mixed with \( 100 g \) of water
at temperature \( 80^{\circ} \mathrm{C} \). The latent heal of
ice is 80 cal \( / g \) and the specific heat of
water is 1 cal \( / g^{\circ} \) C. Assuming no heat loss to the environment, the amount of
ice which does not melt is :
A. \( 100 g \)
в. \( 0 g \)
c. \( 150 g \)
D. \( 50 g \)",Physics,"\( 150 g \) of ice is mixed with \( 100 g \) of water
at temperature \( 80^{\circ} \mathrm{C} \). The latent heal of
ice is 80 cal \( / g \) and the specific heat of
water is 1 cal \( / g^{\circ} \) C. Assuming no heat loss to the environment, the amount of
ice which does not melt is :","Assuming no heat loss to the environment, the amount of
ice which does not melt is :","\( 100 g \)
в. \( 0 g \)",\( 150 g \),\( 50 g \),\( 50 g \),Thermodynamics,Medium,1083,1,89,184,Hard,mixed questions,6,1,3,QZ0410,4
"Two copper rods of the same length, but
of different diameters of cross section
are given the same amount of heat.
Assuming no heat losses:
A. Thick rod expands more linearly
B. Thin rod expands more linearly
C. Both rods expand equally linearly
D. For large quantities of heat thick rod expands more and thin rod expands more for small quantities of heat.",Physics,"Two copper rods of the same length, but
of different diameters of cross section
are given the same amount of heat.
Assuming no heat losses:",Thick rod expands more linearly,Thin rod expands more linearly,Both rods expand equally linearly,For large quantities of heat thick rod expands more and thin rod expands more for small quantities of heat.,Thick rod expands more linearly,Thermodynamics,Medium,1080,2,94,224,Hard,mixed questions,6,1,3,QZ0369,1
"Assertion: At high temperature, a ferromagnet becomes a paramagnet. Reason: The ferromagnetic property depends on temperature
A. If both assertion and reason are true and reason is the correct explanation of assertion.
B. If both assertion and reason are true and reason is not the correct explanation of assertion.
c. If assertion is true but reason is false.
D. If both assertion and reason are false",Physics,"Assertion: At high temperature, a ferromagnet becomes a paramagnet. Reason: The ferromagnetic property depends on temperature",If both assertion and reason are true and reason is the correct explanation of assertion.,If both assertion and reason are true and reason is not the correct explanation of assertion.,If assertion is true but reason is false.,If both assertion and reason are false,If both assertion and reason are true and reason is the correct explanation of assertion.,Thermodynamics,Medium,1035,2,93,200,Hard,mixed questions,6,1,3,QZ0281,1
"According to Laplace correction, the propagation of sound in gas takes place under
A. isothermal condition
B. isobaric condition
c. isochoric condition
D. adiabatic condition",Physics,"According to Laplace correction, the propagation of sound in gas takes place under",isothermal condition,isobaric condition,isochoric condition,adiabatic condition,isothermal condition,Thermodynamics,Medium,1033,3,37,140,Easy,kinematics,6,0,1,QZ0302,1
"That 'Entropy of a system increases in all
spontaneous processes' is known as
A. 1 st law of Thermodynamics
B. 2nd law of Thermodynamics
C. Zeroth law of Thermodynamics
D. 3rd law of Thermodynamics",Physics,"That 'Entropy of a system increases in all
spontaneous processes' is known as",1 st law of Thermodynamics,2nd law of Thermodynamics,Zeroth law of Thermodynamics,3rd law of Thermodynamics,1 st law of Thermodynamics,Thermodynamics,Medium,1002,9,37,299,Easy,kinematics,6,0,1,QZ0270,1
"For the conversion of liquid into a solid:
A. orderliness decreases and entropy decreases
B. orderliness increases and entropy increases
c. both are not related
D. orderliness increases and entropy decreases",Physics,For the conversion of liquid into a solid:,orderliness decreases and entropy decreases,orderliness increases and entropy increases,both are not related,orderliness increases and entropy decreases,orderliness increases and entropy increases,Thermodynamics,Medium,1060,6,61,112,Medium,electricity,6,2,0,QZ0268,2
"When in thermal contact, the quantity
of heat lost by the hotter body is ...... the amount of heat gained by the colder body. (neglect loss of heat due to convection \& radiation)
A. Equal to
B. Greater than
c. Less than
D. cannot say",Physics,"When in thermal contact, the quantity
of heat lost by the hotter body is ...... the amount of heat gained by the colder body. (neglect loss of heat due to convection \& radiation)",Equal to,Greater than,Less than,cannot say,Equal to,Thermodynamics,Medium,1090,7,51,91,Medium,thermodynamics ,6,2,6,QZ0072,1
"Atmosphere maintain the temperature on the surface of earth because
A. It contains water vapour in it
B. It holds air, which is a bad conductor of heat
c. It reflects the heat rays.
D. It absorbs the heat rays",Physics,Atmosphere maintain the temperature on the surface of earth because,It contains water vapour in it,"It holds air, which is a bad conductor of heat",It reflects the heat rays.,It absorbs the heat rays,It contains water vapour in it,Thermodynamics,Medium,1053,3,30,150,Easy,kinematics,6,0,1,QZ0301,1
"On a Fahrenheit scale:
A. boiling point of water is \( 212^{\circ} F \)
B. the temperature will be equal to that on the Celsius
scale \( a t-40^{\circ} C \)
C. the difference between the upper fixed point and the lower fixed point is divided into 180 equal parts
D. all the above",Physics,On a Fahrenheit scale:,boiling point of water is \( 212^{\circ} F \),"the temperature will be equal to that on the Celsius
scale \( a t-40^{\circ} C \)",the difference between the upper fixed point and the lower fixed point is divided into 180 equal parts,all the above,boiling point of water is \( 212^{\circ} F \),Thermodynamics,Medium,1067,5,36,33,Easy,kinematics,6,0,1,QZ0257,1
"Variation of \( \Delta \boldsymbol{H} \) vs temperature is given by:
A. Kirchhoff's equation
B. Gibbs-Helmholtz equation
c. Clausius-Clapeyron equation
D. Van't Hoff's equation",Physics,Variation of \( \Delta \boldsymbol{H} \) vs temperature is given by:,Kirchhoff's equation,Gibbs-Helmholtz equation,Clausius-Clapeyron equation,Van't Hoff's equation,Gibbs-Helmholtz equation,Thermodynamics,Medium,1023,9,97,40,Hard,mixed questions,6,1,3,QZ0445,2
