Questions,Subject,Question,option_1,option_2,option_3,option_4,correct_answer,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic,topic_enc,diff_enc,target_enc,quiz_id,quiz_question,question,Correct_Option_Number
"Work done in moving an electric charge
\( q \) in an electric field does not depend
upon:
A. Magnitude of the charge
B. Potential difference between two points
c. Mass of the particle
D. All of these",Physics,"Work done in moving an electric charge
\( q \) in an electric field does not depend
upon:",Magnitude of the charge,Potential difference between two points,Mass of the particle,All of these,Magnitude of the charge,Mechanics,Medium,1071,5,58,91,Medium,mechanics,2,2,2,QZ0419,"Work done in moving an electric charge
\( q \) in an electric field does not depend
upon:
A. Magnitude of the charge
B. Potential difference between two points
c. Mass of the particle
D. All of these","Work done in moving an electric charge
\( q \) in an electric field does not depend
upon:",1
"In the picture shown below, the man is
A. Applying no force on the stool
B. Applying pressure on the stool
C. Applying force on the stool
D. Both \( (B) \&(C) \)",Physics,"In the picture shown below, the man is",Applying no force on the stool,Applying pressure on the stool,Applying force on the stool,Both \( (B) \&(C) \),Applying no force on the stool,Mechanics,Medium,1079,10,57,57,Medium,mechanics,2,2,2,QZ0269,"In the picture shown below, the man is
A. Applying no force on the stool
B. Applying pressure on the stool
C. Applying force on the stool
D. Both \( (B) \&(C) \)","In the picture shown below, the man is",1
"Select from below, how are temperature
and kinetic energy of molecules related
to each other?
A. Temperature is directly proportional to average kinetic
energy
B. Temperature is indirectly proportional to kinetic energy
C. Temperature and kinetic energy have no relation
D. Temperature is directly proportional to mechanical energy",Physics,"Select from below, how are temperature
and kinetic energy of molecules related
to each other?","Temperature is directly proportional to average kinetic
energy",Temperature is indirectly proportional to kinetic energy,Temperature and kinetic energy have no relation,Temperature is directly proportional to mechanical energy,"Temperature is directly proportional to average kinetic
energy",Mechanics,Medium,1011,1,83,181,Hard,mixed questions,2,1,3,QZ0323,"Select from below, how are temperature
and kinetic energy of molecules related
to each other?
A. Temperature is directly proportional to average kinetic
energy
B. Temperature is indirectly proportional to kinetic energy
C. Temperature and kinetic energy have no relation
D. Temperature is directly proportional to mechanical energy","Select from below, how are temperature
and kinetic energy of molecules related
to each other?",1
"During what kind of process is there no change in internal energy?
A. adiabatic
B. isothermal
c. isobaric
D. cyclic (one cycle)
E. Two of the answers are correct",Physics,During what kind of process is there no change in internal energy?,adiabatic,isothermal,isobaric,"cyclic (one cycle)
E. Two of the answers are correct",adiabatic,Mechanics,Medium,1067,1,39,43,Easy,kinematics,2,0,1,QZ0373,"During what kind of process is there no change in internal energy?
A. adiabatic
B. isothermal
c. isobaric
D. cyclic (one cycle)
E. Two of the answers are correct",During what kind of process is there no change in internal energy?,1
"Hydraulic lifts are used to lift the heavy loads primarily because:
A. they look good
B. they amplify the force applied by a large extent
c. they are sturdy
D. they have better tensile strength",Physics,Hydraulic lifts are used to lift the heavy loads primarily because:,they look good,they amplify the force applied by a large extent,they are sturdy,they have better tensile strength,they look good,Mechanics,Medium,1078,10,47,115,Medium,mechanics,2,2,2,QZ0203,"Hydraulic lifts are used to lift the heavy loads primarily because:
A. they look good
B. they amplify the force applied by a large extent
c. they are sturdy
D. they have better tensile strength",Hydraulic lifts are used to lift the heavy loads primarily because:,1
"The transfer of energy in mechanical waves happens through molecules
A. through collisions
B. through interactions
c. through cohesive forces
D. through electrical forces",Physics,The transfer of energy in mechanical waves happens through molecules,through collisions,through interactions,through cohesive forces,through electrical forces,through electrical forces,Mechanics,Medium,1009,10,81,88,Hard,mixed questions,2,1,3,QZ0393,"The transfer of energy in mechanical waves happens through molecules
A. through collisions
B. through interactions
c. through cohesive forces
D. through electrical forces",The transfer of energy in mechanical waves happens through molecules,4
"Which of the following statements is
true for collisions-
A. Momentum is conserved in elastic collisions but not in inelastic collisions
B. Total kinetic energy is conserved in elastic collisions but momentum is not conserved
C. Total kinetic energy is not conserved in inelastic collisions but momentum is conserved
D. Total kinetic energy and momentum both are conserved in all types of collisions",Physics,"Which of the following statements is
true for collisions-",Momentum is conserved in elastic collisions but not in inelastic collisions,Total kinetic energy is conserved in elastic collisions but momentum is not conserved,Total kinetic energy is not conserved in inelastic collisions but momentum is conserved,Total kinetic energy and momentum both are conserved in all types of collisions,Momentum is conserved in elastic collisions but not in inelastic collisions,Mechanics,Medium,1091,3,35,281,Easy,kinematics,2,0,1,QZ0172,"Which of the following statements is
true for collisions-
A. Momentum is conserved in elastic collisions but not in inelastic collisions
B. Total kinetic energy is conserved in elastic collisions but momentum is not conserved
C. Total kinetic energy is not conserved in inelastic collisions but momentum is conserved
D. Total kinetic energy and momentum both are conserved in all types of collisions","Which of the following statements is
true for collisions-",1
"Assertion
At absolute zero, the molecular energy
is minimum
Reason
At absolute zero, the temperature is
minimum
A. Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
C. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect",Physics,"Assertion
At absolute zero, the molecular energy
is minimum
Reason
At absolute zero, the temperature is
minimum","Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion",Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,"Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion",Mechanics,Medium,1052,10,27,104,Easy,kinematics,2,0,1,QZ0459,"Assertion
At absolute zero, the molecular energy
is minimum
Reason
At absolute zero, the temperature is
minimum
A. Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
C. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect","Assertion
At absolute zero, the molecular energy
is minimum
Reason
At absolute zero, the temperature is
minimum",1
"Tidal energy works using:
A. average of sea levels of high and low tides.
B. resisting the formation of tides.
C. difference in sea levels between high and low tides
D. using heat energy in tides.",Physics,Tidal energy works using:,average of sea levels of high and low tides.,resisting the formation of tides.,difference in sea levels between high and low tides,using heat energy in tides.,average of sea levels of high and low tides.,Mechanics,Medium,1083,6,38,231,Easy,optics,2,0,5,QZ0395,"Tidal energy works using:
A. average of sea levels of high and low tides.
B. resisting the formation of tides.
C. difference in sea levels between high and low tides
D. using heat energy in tides.",Tidal energy works using:,1
"To determine the Young modulus of a wire, several measurements are taken.
In which row can the measurement not
be taken directly with the stated apparatus?
A. measurement: area of cross-section of wire apparatus : micrometer screw gauge
B. measurement: extension of wire ; apparatus: vernier scale
c. measurement: mass of load applied to wire ; apparatus : electronic balance
D. measurement: original length of wire ; apparatus metre rule",Physics,"To determine the Young modulus of a wire, several measurements are taken.
In which row can the measurement not
be taken directly with the stated apparatus?",measurement: area of cross-section of wire apparatus : micrometer screw gauge,measurement: extension of wire ; apparatus: vernier scale,measurement: mass of load applied to wire ; apparatus : electronic balance,measurement: original length of wire ; apparatus metre rule,measurement: extension of wire ; apparatus: vernier scale,Mechanics,Medium,1051,9,31,252,Easy,optics,2,0,5,QZ0131,"To determine the Young modulus of a wire, several measurements are taken.
In which row can the measurement not
be taken directly with the stated apparatus?
A. measurement: area of cross-section of wire apparatus : micrometer screw gauge
B. measurement: extension of wire ; apparatus: vernier scale
c. measurement: mass of load applied to wire ; apparatus : electronic balance
D. measurement: original length of wire ; apparatus metre rule","To determine the Young modulus of a wire, several measurements are taken.
In which row can the measurement not
be taken directly with the stated apparatus?",2
